"Province","Pop","Sup","Density","ID"
"AZUA",222256,2682500,0.082854054054054,2
"BAO",101005,1284900,0.078609230290295,3
"BARA",189177,1660200,0.113948319479581,4
"DJBON",66467,1021300,0.0650807793988054,5
"DN",1043186,91600,11.3884934497817,1
"DTE",298913,1649500,0.181214307365868,6
"SEIBO",93508,1788400,0.0522858420934914,8
"EP",63402,1395500,0.0454331780723755,7
"ESP",239845,843000,0.284513641755635,9
"HMAYOR",85762,1319300,0.0650056848328659,30
"MIRABAL",92148,427400,0.215601310248011,19
"IND",58424,2007400,0.0291043140380592,10
"ALT",353406,2998400,0.117864861259338,11
"ROM",272597,652100,0.418029443336911,12
"VEGA",411290,2292500,0.179406761177754,13
"NOUEL",174278,992000,0.175683467741935,28
"MTS",141097,1206500,0.116947368421053,14
"MC",117221,1885800,0.062159826068512,15
"MPLATA",191033,2601600,0.0734290436654366,29
"PED",34997,2080500,0.0168214371545302,16
"PERV",197434,785200,0.251444218033622,17
"PPLATA",333221,1805600,0.184548626495348,18
"SRAM",151978,1185800,0.128164951931186,24
"OCOA",54405,853400,0.0637508788375908,31
"SPM",304966,1254300,0.24313641074703,23
"SAM",112160,862800,0.129995363931386,20
"SCBAL",637429,1240600,0.513807028857005,21
"SJUAN",221736,3363800,0.0659183066769725,22
"STGO",1045169,2806300,0.372436660371307,25
"SROD",57266,1147500,0.0499050108932462,26
"SD",2906003,1302200,2.23161035171249,32
"VALV",176720,822900,0.21475270385223,27
